Operation_Key,Operation_Name,Business_Unit,Criticality_Level
1,Mobile Banking App - Login/Auth,Digital Channels,Tier 1
2,Real-Time Payments (NPP),Payments,Tier 1
3,Internet Banking - Funds Transfer,Digital Channels,Tier 1
4,Card Payments Gateway,Payments,Tier 1
5,BPAY / Bill Payment,Payments,Tier 1
6,ATM Network Switch,Payments,Tier 1
7,Credit Card Application Online,Retail Banking,Tier 2
8,Home Loan Origination Portal,Retail Banking,Tier 2
9,Transaction History / Statements,Digital Channels,Tier 2
10,Customer Onboarding (eKYC),Retail Banking,Tier 2
