Incident_ID,Date_Key,Downtime_Minutes,Financial_Loss_AUD,Impacted_Txns_Count,Is_Peak_Hour
INC-000037,20250123,20.9,13568.58,910,False
INC-000037,20250123,20.9,13568.58,910,False
INC-000114,20240225,4.1,9465.9,232,False
INC-000114,20240225,4.1,9465.9,232,False
INC-000127,20251029,3.4,2010.7,106,True
INC-000127,20251029,3.4,2010.7,106,True
INC-000136,20250410,38.6,123329.02,4138,True
INC-000136,20250410,38.6,123329.02,4138,True
INC-000192,20250712,6.6,12919.03,326,False
INC-000192,20250712,6.6,12919.03,326,False
INC-000232,20240102,45.7,70722.15,5607,True
INC-000232,20240102,45.7,70722.15,5607,True
INC-000309,20241006,6.2,18758.65,454,False
INC-000309,20241006,6.2,18758.65,454,False
INC-000438,20241025,18.0,15329.9,1233,False
INC-000438,20241025,18.0,15329.9,1233,False
INC-000452,20250325,47.6,27529.93,2078,False
INC-000452,20250325,47.6,27529.93,2078,False
INC-000478,20241118,9.8,12842.52,429,False
INC-000478,20241118,9.8,12842.52,429,False
INC-000504,20250509,28.8,11839.59,548,False
INC-000504,20250509,28.8,11839.59,548,False
INC-000511,20250603,29.2,57794.73,1479,False
INC-000511,20250603,29.2,57794.73,1479,False
INC-000567,20240316,92.7,36004.83,2931,True
INC-000567,20240316,92.7,36004.83,2931,True
INC-000594,20240514,51.0,14322.25,707,False
INC-000594,20240514,51.0,14322.25,707,False
INC-000712,20241226,8.6,14586.09,495,False
INC-000712,20241226,8.6,14586.09,495,False
INC-000742,20250228,49.7,24183.16,2276,False
INC-000742,20250228,49.7,24183.16,2276,False
INC-000765,20250210,7.4,12402.92,401,False
INC-000765,20250210,7.4,12402.92,401,False
INC-000780,20250322,37.0,76385.24,2696,False
INC-000780,20250322,37.0,76385.24,2696,False
INC-000793,20240626,8.8,14839.63,515,False
INC-000793,20240626,8.8,14839.63,515,False
INC-000798,20250801,27.2,67620.17,1844,False
INC-000798,20250801,27.2,67620.17,1844,False
INC-000828,20240308,54.1,132919.03,3876,False
INC-000828,20240308,54.1,132919.03,3876,False
INC-000876,20251229,3.2,4958.52,163,False
INC-000876,20251229,3.2,4958.52,163,False
INC-000901,20240831,4.9,7816.13,228,False
INC-000901,20240831,4.9,7816.13,228,False
INC-000914,20250620,20.6,103423.77,2871,True
INC-000914,20250620,20.6,103423.77,2871,True
INC-000960,20250909,8.3,19228.57,581,False
INC-000960,20250909,8.3,19228.57,581,False
INC-000978,20240606,36.6,15499.47,671,False
INC-000978,20240606,36.6,15499.47,671,False
INC-001014,20250223,50.3,32829.0,2318,False
INC-001014,20250223,50.3,32829.0,2318,False
INC-001036,20250829,75.1,17156.01,856,False
INC-001036,20250829,75.1,17156.01,856,False
INC-001071,20250524,10.6,6549.15,632,False
INC-001071,20250524,10.6,6549.15,632,False
INC-001091,20250930,37.0,7156.08,624,False
INC-001091,20250930,37.0,7156.08,624,False
INC-001109,20250603,23.3,80349.07,2312,True
INC-001109,20250603,23.3,80349.07,2312,True
INC-001154,20250328,7.9,8142.47,576,False
INC-001154,20250328,7.9,8142.47,576,False
INC-001180,20250522,14.3,57519.31,1833,True
INC-001180,20250522,14.3,57519.31,1833,True
INC-001250,20250404,11.5,16124.51,1265,True
INC-001250,20250404,11.5,16124.51,1265,True
INC-001255,20240701,38.1,12879.95,708,False
INC-001255,20240701,38.1,12879.95,708,False
INC-001293,20251214,17.1,59072.97,1730,True
INC-001293,20251214,17.1,59072.97,1730,True
INC-001323,20250630,9.7,3549.48,321,True
INC-001323,20250630,9.7,3549.48,321,True
INC-001409,20250911,10.7,30159.19,1020,True
INC-001409,20250911,10.7,30159.19,1020,True
INC-001415,20241230,21.8,11539.13,536,True
INC-001415,20241230,21.8,11539.13,536,True
INC-001423,20240606,6.1,24043.7,642,True
INC-001423,20240606,6.1,24043.7,642,True
INC-001434,20240415,10.8,5755.2,532,False
INC-001434,20240415,10.8,5755.2,532,False
INC-001443,20251202,9.1,8867.45,772,True
INC-001443,20251202,9.1,8867.45,772,True
