Incident_ID,Downtime_Minutes,MTTR_Minutes,Impacted_Txns_Count,Financial_Loss_AUD
INC-1000,129.01,166.67,4557,7946.79
INC-1001,0.0,48.04,21,0.0
INC-1002,171.69,144.08,3348,8024.24
INC-1003,38.1,98.5,1307,2330.55
INC-1004,150.13,212.89,3821,10690.23
INC-1005,133.69,176.04,4552,3528.92
INC-1006,81.5,143.22,1292,3746.97
INC-1007,13.93,0.0,477,1042.56
INC-1008,18.18,24.93,830,804.0
INC-1009,104.04,73.24,1447,5914.8
INC-1010,178.09,192.36,8002,10314.74
INC-1011,-20.24,48.8,15,0.0
INC-1012,13.6,0.0,562,419.39
INC-1013,152.81,186.39,5872,6536.31
INC-1014,80.92,102.65,2527,3310.63
INC-1015,20.07,77.67,741,405.6
INC-1016,148.49,214.27,6183,2980.86
INC-1017,179.68,218.52,4635,13349.95
INC-1018,141.04,203.49,3275,5188.4
INC-1019,154.73,174.88,5353,8237.67
INC-1020,86.98,99.96,3416,3349.55
INC-1021,172.45,214.36,6511,14074.78
INC-1022,49.31,95.2,1920,1768.34
INC-1023,115.43,142.3,3099,5460.01
INC-1024,29.78,75.66,1179,2294.66
INC-1025,126.29,96.46,2060,9469.96
INC-1026,98.8,155.63,3012,3057.53
INC-1027,104.19,143.36,1301,7537.89
INC-1028,159.31,188.93,3686,7840.8
INC-1029,33.25,40.15,815,1691.81
INC-1030,138.68,181.45,3540,3801.66
INC-1031,130.02,148.09,4619,3102.59
INC-1032,33.65,39.68,850,2265.69
INC-1033,0.0,52.37,16,0.0
INC-1034,-20.69,27.5,10,0.0
INC-1035,185.67,166.59,4598,9615.36
INC-1036,97.75,150.43,1944,4670.94
INC-1037,77.81,120.69,1147,5247.23
INC-1038,156.89,219.63,5091,10959.42
INC-1039,35.47,96.82,1227,1032.91
INC-1040,94.04,114.85,3102,5588.48
INC-1041,88.44,153.03,2456,2435.55
INC-1042,94.12,119.21,2351,6485.32
INC-1043,0.0,82.19,26,0.0
INC-1044,51.26,61.01,1519,3207.06
INC-1045,32.38,45.3,916,2677.39
INC-1046,36.29,49.86,477,837.59
INC-1047,119.29,135.47,2826,2657.93
INC-1048,69.18,128.72,1729,2587.25
INC-1049,90.95,136.59,2330,3276.34
INC-1050,17.69,-6.63,560,619.76
INC-1051,71.93,54.62,2166,5704.41
INC-1052,0.0,34.07,20,0.0
INC-1053,3.36,0.0,127,118.3
INC-1054,30.98,64.08,1222,1137.32
INC-1055,0.0,37.16,22,0.0
INC-1056,72.33,108.01,3198,5022.86
INC-1057,127.69,135.22,1648,6212.12
INC-1058,146.2,189.43,2754,10322.61
