Incident_SK,Incident_ID,Date_Key,Operation_Key,Limit_Key,Vendor_Key,Downtime_Minutes,MTTR_Minutes,Impacted_Txns_Count,Financial_Loss_AUD,Is_Peak_Hour,Incident_Classification,Is_Invalid_Column,Data_Quality_Case
1,INC-000001,20240826,3,3,4.0,47.2,54.6,3631,53452.25,True,Third-Party/Vendor Outage,False,successful
2,INC-000002,20250728,2,2,6.0,39.5,41.6,3218,118933.71,True,Network/Telco Failure,False,successful
3,INC-000003,20251027,10,10,,77.2,90.4,1581,32256.58,True,Internal Infrastructure Failure,True,missing_data
4,INC-000004,20251219,4,4,5.0,36.8,41.6,2069,85994.69,False,Third-Party/Vendor Outage,False,successful
5,INC-000005,20240813,3,3,3.0,22.4,49.3,1163,13247.27,False,Third-Party/Vendor Outage,False,successful
6,INC-000006,20250826,1,1,6.0,4.7,2.4,217,3125.95,False,Software Deployment Bug,True,logging_error
7,INC-000007,20240107,3,3,4.0,81.4,96.5,4110,45811.0,False,Network/Telco Failure,False,successful
8,INC-000008,20251215,6,6,1.0,18.6,37.7,1055,41084.88,False,Internal Infrastructure Failure,False,successful
9,INC-000009,20250308,1,1,7.0,16.4,18.4,2178,24595.69,True,Software Deployment Bug,False,successful
10,INC-000010,20241011,3,3,4.0,0.0,8.6,0,0.0,False,Network/Telco Failure,True,false_alert
11,INC-000011,20240808,3,3,,9.4,14.9,491,,False,Internal Infrastructure Failure,True,missing_data
12,INC-000012,20241210,5,5,8.0,17.8,51.8,2120,82337.62,True,Third-Party/Vendor Outage,False,successful
13,INC-000013,20240404,6,6,3.0,6.6,4.0,442,17840.31,False,Third-Party/Vendor Outage,True,logging_error
14,INC-000014,20240409,2,2,1.0,19.0,33.5,1300,40747.29,False,Internal Infrastructure Failure,False,successful
15,INC-000015,20250102,6,6,,21.0,38.1,1092,44284.33,False,Internal Infrastructure Failure,True,missing_data
16,INC-000016,20241218,3,3,5.0,28.2,34.6,1886,24588.78,False,Software Deployment Bug,False,successful
17,INC-000017,20240214,6,6,2.0,5.2,8.9,264,11117.35,False,Third-Party/Vendor Outage,False,successful
18,INC-000018,20250703,8,8,7.0,0.0,8.5,0,0.0,False,Third-Party/Vendor Outage,True,false_alert
19,INC-000019,20250122,10,10,1.0,15.3,895.0,528,12393.24,True,Internal Infrastructure Failure,True,extended_mttr_outlier
20,INC-000020,20240321,3,3,6.0,4.6,6.5,252,,False,Software Deployment Bug,True,missing_data
21,INC-000021,20251005,3,3,5.0,15.0,17.4,674,6947.63,False,Software Deployment Bug,False,successful
22,INC-000022,20250814,2,2,2.0,22.0,22.3,1353,43966.62,False,Network/Telco Failure,False,successful
23,INC-000023,20251222,1,1,7.0,76.9,81.8,3767,46099.45,False,Third-Party/Vendor Outage,False,successful
24,INC-000024,20240216,2,2,3.0,39.3,53.8,2635,89626.04,False,Network/Telco Failure,False,successful
25,INC-000025,20241023,2,2,8.0,26.5,31.1,1158,42103.2,False,Third-Party/Vendor Outage,False,successful
26,INC-000026,20240826,1,1,7.0,17.1,0.0,778,9763.6,False,Third-Party/Vendor Outage,False,self_resolved
27,INC-000027,20250124,2,2,3.0,24.6,30.2,2909,88500.07,True,Software Deployment Bug,False,successful
28,INC-000028,20250409,5,5,6.0,20.4,43.1,1562,63940.06,False,Software Deployment Bug,False,successful
29,INC-000029,20240615,1,1,4.0,13.7,0.0,1640,18720.18,True,Software Deployment Bug,False,self_resolved
30,INC-000030,20241229,4,4,4.0,-10.3,11.9,0,0.0,False,Data/Logging Anomaly,True,negative_downtime
31,INC-000031,20251117,4,4,8.0,5.4,4.5,325,12984.59,False,Software Deployment Bug,True,logging_error
32,INC-000032,20251219,8,8,,27.8,33.1,312,,False,Internal Infrastructure Failure,True,missing_data
33,INC-000033,20251130,5,5,6.0,18.0,18.5,1042,42553.74,False,Third-Party/Vendor Outage,False,successful
34,INC-000034,20250915,1,1,5.0,8.5,12.5,401,5014.71,False,Network/Telco Failure,False,successful
